,Name,Teams,Season,POS,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD
0,Christian McCaffrey,SF,2023,RB,16,272,1459,5.4,72,9,14,91.2,2,2,83
1,Derrick Henry,TEN,2023,RB,17,280,1167,4.2,69,5,12,68.6,0,0,63
2,Kyren Williams,LAR,2023,RB,12,228,1144,5.0,56,7,12,95.3,2,1,62
3,James Cook,BUF,2023,RB,17,237,1122,4.7,42,6,2,66.0,3,1,53
4,D'Andre Swift,PHI,2023,RB,16,229,1049,4.6,43,6,5,65.6,2,0,50
5,James Conner,ARI,2023,RB,13,208,1040,5.0,44,11,7,80.0,0,0,57
6,Najee Harris,PIT,2023,RB,17,255,1035,4.1,25,8,8,60.9,2,1,51
7,Joe Mixon,CIN,2023,RB,17,257,1034,4.0,44,3,9,60.8,0,0,59
8,David Montgomery,DET,2023,RB,14,219,1015,4.6,75,4,13,72.5,2,1,59
9,Raheem Mostert,MIA,2023,RB,15,209,1012,4.8,49,7,18,67.5,2,1,59
10,Travis Etienne Jr.,JAX,2023,RB,17,267,1008,3.8,62,6,11,59.3,0,0,53
11,Tony Pollard,DAL,2023,RB,17,252,1005,4.0,31,6,6,59.1,1,1,56
12,Breece Hall,NYJ,2023,RB,17,223,994,4.5,83,7,5,58.5,2,0,40
13,Rachaad White,TB,2023,RB,17,272,990,3.6,38,3,6,58.2,2,1,46
14,Bijan Robinson,ATL,2023,RB,17,214,976,4.6,38,7,4,57.4,4,3,50
15,Saquon Barkley,NYG,2023,RB,14,247,962,3.9,36,7,6,68.7,2,2,51
16,Jahmyr Gibbs,DET,2023,RB,15,182,945,5.2,36,10,10,63.0,2,1,42
17,Isiah Pacheco,KC,2023,RB,14,205,935,4.6,48,6,7,66.8,1,1,53
18,Kenneth Walker III,SEA,2023,RB,15,219,905,4.1,45,7,8,60.3,1,0,46
19,Chuba Hubbard,CAR,2023,RB,17,238,902,3.8,22,4,5,53.1,0,0,59
20,Devin Singletary,HOU,2023,RB,17,216,898,4.2,24,3,4,52.8,1,0,40
21,Lamar Jackson,BAL,2023,QB,16,148,821,5.5,30,4,5,51.3,5,2,48
22,Jerome Ford,CLE,2023,RB,17,204,813,4.0,69,5,4,47.8,1,1,33
23,Gus Edwards,BAL,2023,RB,17,198,810,4.1,42,6,13,47.6,2,2,49
24,Josh Jacobs,LV,2023,RB,13,233,805,3.5,63,3,6,61.9,2,1,34
25,De'Von Achane,MIA,2023,RB,11,103,800,7.8,76,8,8,72.7,1,1,30
26,Zack Moss,IND,2023,RB,14,183,794,4.3,56,6,5,56.7,0,0,43
27,Jaylen Warren,PIT,2023,RB,17,149,784,5.3,74,6,4,46.1,3,1,36
28,Javonte Williams,DEN,2023,RB,16,217,774,3.6,21,2,3,48.4,0,0,41
29,Jonathan Taylor,IND,2023,RB,10,169,741,4.4,49,4,7,74.1,1,0,42
30,Brian Robinson Jr.,WSH,2023,RB,15,178,733,4.1,29,4,5,48.9,3,2,47
31,Alexander Mattison,MIN,2023,RB,16,180,700,3.9,21,1,0,43.8,2,2,28
32,Alvin Kamara,NO,2023,RB,13,180,694,3.9,17,0,5,53.4,0,0,42
33,Tyler Allgeier,ATL,2023,RB,17,186,683,3.7,31,2,4,40.2,0,0,39
34,Justin Fields,CHI,2023,QB,13,124,657,5.3,39,4,4,50.5,3,1,43
35,Aaron Jones,GB,2023,RB,11,142,656,4.6,39,3,2,59.6,1,1,34
36,Ezekiel Elliott,NE,2023,RB,17,184,642,3.5,17,0,3,37.8,1,0,33
37,Austin Ekeler,LAC,2023,RB,14,179,628,3.5,55,3,5,44.9,3,2,34
38,Rhamondre Stevenson,NE,2023,RB,12,156,619,4.0,64,1,4,51.6,1,1,36
39,AJ Dillon,GB,2023,RB,15,178,613,3.4,40,1,2,40.9,0,0,32
40,Khalil Herbert,CHI,2023,RB,12,132,611,4.6,38,5,2,50.9,0,0,25
41,Jalen Hurts,PHI,2023,QB,17,157,605,3.9,24,2,15,35.6,6,4,68
42,Josh Allen,BUF,2023,QB,17,111,524,4.7,23,1,15,30.8,5,3,57
43,Zach Charbonnet,SEA,2023,RB,16,108,462,4.3,23,4,1,28.9,0,0,32
44,Ty Chandler,MIN,2023,RB,17,102,461,4.5,31,3,3,27.1,0,0,20
45,Tyjae Spears,TEN,2023,RB,17,100,453,4.5,23,3,2,26.6,0,0,24
46,Zamir White,LV,2023,RB,17,104,451,4.3,43,2,1,26.5,1,1,19
47,Miles Sanders,CAR,2023,RB,16,129,432,3.3,48,1,1,27.0,2,2,24
48,D'Onta Foreman,CHI,2023,RB,9,109,425,3.9,22,1,4,47.2,1,0,24
49,Joshua DobbsARI,ARI / MIN,2023,QB,13,77,421,5.5,44,6,6,32.4,7,2,31
50,Dameon Pierce,HOU,2023,RB,14,145,416,2.9,22,1,2,29.7,0,0,14
51,Kareem Hunt,CLE,2023,RB,15,135,411,3.0,16,0,9,27.4,0,0,39
52,Jaleel McLaughlin,DEN,2023,RB,17,76,410,5.4,38,4,1,24.1,0,0,16
53,Joshua Kelley,LAC,2023,RB,17,107,405,3.8,49,2,2,23.8,1,1,21
54,Taysom Hill,NO,2023,QB,16,81,401,5.0,27,3,4,25.1,1,1,26
55,Keaton Mitchell,BAL,2023,RB,8,47,396,8.4,60,7,2,49.5,0,0,19
56,Patrick Mahomes,KC,2023,QB,16,75,389,5.2,25,2,0,24.3,1,0,27
57,Justice Hill,BAL,2023,RB,16,84,387,4.6,41,2,3,24.2,0,0,18
58,Kenneth Gainwell,PHI,2023,RB,16,84,364,4.3,32,3,2,22.8,3,1,19
59,Rico Dowdle,DAL,2023,RB,16,89,361,4.1,21,2,2,22.6,0,0,17
